Specimen: 1	Specimen: 1	Specimen: 2	Specimen: 2	Specimen: 3	Specimen: 3	Specimen: 4	Specimen: 4	Specimen: 5	Specimen: 5	Specimen: 6	Specimen: 6	Specimen: 7	Specimen: 7	Specimen: 8	Specimen: 8	Specimen: 9	Specimen: 9
Displacement Into Surface	Load On Sample	Displacement Into Surface	Load On Sample	Displacement Into Surface	Load On Sample	Displacement Into Surface	Load On Sample	Displacement Into Surface	Load On Sample	Displacement Into Surface	Load On Sample	Displacement Into Surface	Load On Sample	Displacement Into Surface	Load On Sample	Displacement Into Surface	Load On Sample
nm	mN	nm	mN	nm	mN	nm	mN	nm	mN	nm	mN	nm	mN	nm	mN	nm	mN
126.1411314	2.696162685	99.22957627	1.933642821	96.20389154	1.924099616	98.40731737	1.904296618	98.40535046	1.914102601	98.19848193	1.904314111	95.17693999	1.914383388	96.80382724	1.933853035	4.304097658	7.75945E-05
174.9932512	4.653261184	156.9557541	3.889972531	156.01108	3.875345926	156.0953796	3.860629649	158.0669229	3.87026479	158.5201218	3.870225726	154.2940013	3.870592691	156.6209215	3.890001608	101.0376198	1.923680682
215.2695535	6.611102448	201.9028425	5.847409102	199.0476746	5.837851445	199.3916635	5.818209233	199.6424604	5.8279935	201.5895506	5.822921671	197.7815341	5.818349095	199.3767781	5.847627972	161.3350967	3.874884363
250.5976701	8.569372281	235.4361232	7.805834321	235.2310102	7.796047219	234.6884207	7.776481704	237.2965564	7.786061839	236.5218491	7.786129072	233.8321221	7.781459625	237.0593851	7.805693746	203.0302499	5.837505966
278.9375648	10.52824741	269.0537838	9.764252195	265.7580306	9.754732913	266.249663	9.735077727	267.4720925	9.7545846	268.3972647	9.739794583	264.4690972	9.735232413	268.4194951	9.764307168	239.9838029	7.795634924
306.8724057	12.48715761	295.3640972	11.72330304	293.3994694	11.71366853	294.8988228	11.69392598	294.7726505	11.71354972	295.3943201	11.69388265	292.3552015	11.69905011	293.9470905	11.72342581	270.814625	9.754294219
331.8395776	14.44632485	321.2962777	13.68238662	320.9188087	13.67261471	320.6811393	13.65302255	321.3307285	13.67257914	321.602194	13.66274903	318.2665838	13.65813553	321.2625149	13.68238955	299.2440434	11.71316151
355.4313483	16.40561121	345.4531915	15.64162397	343.9905537	15.63194613	344.3081235	15.61230581	345.6316024	15.63180406	345.2274292	15.62203246	342.244876	15.61248505	346.8141887	15.64150606	324.9780527	13.67226226
376.0612671	18.36515413	367.6247236	17.60103328	366.9458989	17.58638429	367.4523089	17.57163088	368.3722469	17.58135748	367.3424618	17.5618334	365.574785	17.57179405	368.8729946	17.60092513	349.2671263	15.63148817
398.3844177	20.32455036	389.2410223	19.56049068	388.3485601	19.55076359	388.2583281	19.53115848	388.6945635	19.54092702	388.4631735	19.53114041	386.3888489	19.54112762	388.7901667	19.56052972	371.3962495	17.59090117
418.4371429	22.28414325	412.5534096	21.51980114	408.0283102	21.5103888	409.5492503	21.50045071	409.6264015	21.50044374	409.1204748	21.50048755	406.9309943	21.49087143	410.2025779	21.52000476	393.5324333	19.55031354
437.4276001	24.24382815	429.9465893	23.47962436	424.9449674	23.47025335	427.8820335	23.45038589	429.1079779	23.46008609	428.3830915	23.4503422	425.9567399	23.45055325	426.8657088	23.47989122	413.8153051	21.50988645
456.6216591	26.2034954	448.8350643	25.43931803	446.0212888	25.42975755	446.9122053	25.41987394	447.4606122	25.41982622	446.6338503	25.41009114	444.7790812	25.41025267	446.5430784	25.43951654	433.0345053	23.46955149
474.0416496	28.16331632	465.6464506	27.39919163	465.5802907	27.38939319	465.0017084	27.36983018	465.3885951	27.37960312	464.1171422	27.36990655	462.335522	27.37006175	466.4921687	27.39911831	452.3320611	25.4243064
490.7085174	30.12320248	483.8754858	29.34913575	481.624264	29.34933331	482.5607898	29.33944565	483.1156929	29.33939742	481.6061014	29.32972147	481.4933433	29.32973209	482.2163043	29.35908608	470.6621554	27.38404844
508.3736504	32.08300215	500.2436931	31.31885438	496.667703	31.3093601	499.1421107	31.29933917	499.2599013	31.29932884	498.4610018	31.28959131	497.2631594	31.28969592	499.1488146	31.31894917	488.1158807	29.34876972
524.4830404	34.03803326	516.9663071	33.27873565	514.4270642	33.2691516	515.285894	33.25927058	515.6529103	33.25923869	515.481505	33.24944679	512.8787261	33.24967311	515.3870405	33.27887239	504.0816794	31.30871656
538.8967674	36.00301791	531.7804198	35.23878224	528.3985619	35.22927124	531.7765453	35.20936529	530.8302451	35.21925385	529.7286202	35.20954252	528.1641572	35.19987224	529.7483846	35.23895821	521.1694255	33.2685662
554.3294725	37.96301094	547.5744245	37.19384061	546.1093835	37.18906693	547.1485369	37.16936355	548.1317924	37.17908498	545.0722478	37.16954325	543.05976	37.16971844	544.873459	37.19897785	537.8759324	35.22844886
569.7810368	39.91809902	561.2492777	39.15888922	560.8277173	39.14912185	561.6175648	39.12944003	561.744865	39.13923564	560.2831442	39.12955548	558.9240156	39.12967406	559.1242619	39.15907321	550.8940179	37.18865105
584.2501937	41.88307884	577.0647808	41.11884903	574.7176652	41.10924853	575.8247805	41.0895392	576.5921406	41.09927937	574.498556	41.08965394	573.4729415	41.08974362	572.8414518	41.11921188	566.5067439	39.14862845
598.5972912	43.84316591	590.4611839	43.07901695	588.7538711	43.06936254	590.3713478	43.0594156	590.4984438	43.05940461	589.3407249	43.0496981	587.8238825	43.04983033	586.4395499	43.07936079	581.8135468	41.10863234
612.0513687	45.798427	604.781177	45.03419975	602.3762246	45.02951239	603.1742755	45.0196364	604.15423	45.00974491	601.9223393	45.00993809	600.5016518	45.01006199	601.994717	45.03933955	594.0071314	43.06890595
